truck_id,route_id,departure_date,estimated_arrival,delay
T580,R5,01/01/2019 07:00,13:12.0,0
T573,R8,01/01/2019 07:00,01:12.0,0
T363,R9,01/01/2019 07:00,45:36.0,0
T510,R10,01/01/2019 07:00,46:48.0,0
T369,R11,01/01/2019 07:00,34:12.0,0
T44,R12,01/01/2019 07:00,39:36.0,0
T341,R13,01/01/2019 07:00,02:24.0,0
T226,R14,01/01/2019 07:00,41:24.0,0
T64,R15,01/01/2019 07:00,48:00.0,1
T282,R16,01/01/2019 07:00,08:24.0,0
T469,R18,01/01/2019 07:00,21:36.0,1
T578,R19,01/01/2019 07:00,13:48.0,0
T505,R20,01/01/2019 07:00,17:24.0,0
T613,R22,01/01/2019 07:00,48:36.0,0
T503,R24,01/01/2019 07:00,52:12.0,0
T135,R25,01/01/2019 07:00,12:36.0,0
T420,R26,01/01/2019 07:00,27:00.0,1
T350,R27,01/01/2019 07:00,12:00.0,1
T303,R28,01/01/2019 07:00,06:36.0,0
T330,R29,01/01/2019 07:00,58:12.0,0
T207,R30,01/01/2019 07:00,43:12.0,0
T570,R31,01/01/2019 07:00,20:24.0,0
T145,R32,01/01/2019 07:00,06:00.0,0
T524,R33,01/01/2019 07:00,09:00.0,0
T183,R34,01/01/2019 07:00,18:00.0,0
T618,R35,01/01/2019 07:00,45:36.0,0
T442,R36,01/01/2019 07:00,12:36.0,0
T23,R38,01/01/2019 07:00,55:12.0,0
T515,R39,01/01/2019 07:00,12:36.0,0
T172,R41,01/01/2019 07:00,12:36.0,0
T59,R42,01/01/2019 07:00,42:36.0,0
T244,R44,01/01/2019 07:00,06:36.0,0
T253,R45,01/01/2019 07:00,03:00.0,0
T129,R46,01/01/2019 07:00,21:00.0,0
T220,R47,01/01/2019 07:00,43:12.0,0
T213,R48,01/01/2019 07:00,48:00.0,1
T466,R54,01/01/2019 07:00,56:24.0,0
T6,R75,01/01/2019 07:00,04:48.0,1
T552,R94,01/01/2019 07:00,41:24.0,0
T339,R100,01/01/2019 07:00,47:24.0,0
T462,R104,01/01/2019 07:00,09:00.0,0
T110,R107,01/01/2019 07:00,25:12.0,0
T385,R108,01/01/2019 07:00,33:00.0,0
T550,R113,01/01/2019 07:00,55:48.0,0
T66,R126,01/01/2019 07:00,06:00.0,0
T217,R184,01/01/2019 07:00,04:12.0,0
T447,R195,01/01/2019 07:00,47:24.0,0
T187,R200,01/01/2019 07:00,48:00.0,0
T177,R203,01/01/2019 07:00,17:24.0,0
T365,R209,01/01/2019 07:00,37:12.0,0
T63,R222,01/01/2019 07:00,29:24.0,0
T522,R241,01/01/2019 07:00,13:12.0,1
T37,R249,01/01/2019 07:00,27:36.0,0
T34,R250,01/01/2019 07:00,24:36.0,0
T449,R251,01/01/2019 07:00,00:36.0,0
T141,R252,01/01/2019 07:00,22:48.0,0
T556,R253,01/01/2019 07:00,21:36.0,1
T429,R254,01/01/2019 07:00,25:12.0,0
T355,R255,01/01/2019 07:00,06:00.0,0
T598,R256,01/01/2019 07:00,24:00.0,0
T49,R258,01/01/2019 07:00,17:24.0,0
T185,R259,01/01/2019 07:00,48:36.0,0
T396,R260,01/01/2019 07:00,54:36.0,0
T434,R262,01/01/2019 07:00,30:00.0,1
T555,R264,01/01/2019 07:00,00:00.0,0
T520,R265,01/01/2019 07:00,49:48.0,1
T579,R266,01/01/2019 07:00,34:48.0,0
T218,R267,01/01/2019 07:00,34:48.0,1
T270,R268,01/01/2019 07:00,54:36.0,0
T294,R269,01/01/2019 07:00,52:12.0,0
T382,R270,01/01/2019 07:00,47:24.0,1
T340,R271,01/01/2019 07:00,16:12.0,0
T120,R272,01/01/2019 07:00,15:00.0,0
